ts in ms,player id,group id,x in m,y in m
1600,9,1,-0.448,-1.515
1600,4,1,11.110,-2.566
1600,10,1,12.503,-5.160
1600,15,2,11.031,-4.776
1600,20,2,1.430,-5.109
1600,22,2,12.357,-1.375
1600,18,2,10.982,-2.000
1600,21,2,7.614,3.749
1640,8,1,12.963,3.844
1640,3,1,7.218,4.856
1640,9,1,-0.430,-1.558
1640,4,1,11.086,-2.591
1640,10,1,12.564,-5.072
1640,15,2,11.095,-4.767
1640,20,2,1.472,-5.041
1640,22,2,12.427,-1.393
1640,18,2,11.003,-2.006
1640,21,2,7.666,3.713
1680,8,1,12.954,3.767
1680,3,1,7.148,4.816
1680,9,1,-0.363,-1.597
1680,4,1,11.037,-2.658
1680,10,1,12.640,-4.920
1680,15,2,11.198,-4.697
1680,20,2,1.570,-4.953
1680,22,2,12.482,-1.466
1680,18,2,11.025,-2.000
1680,21,2,7.769,3.594
1720,8,1,12.969,3.746
1720,3,1,7.062,4.773
1720,9,1,-0.323,-1.643
1720,4,1,10.991,-2.710
1720,10,1,12.716,-4.779
1720,15,2,11.244,-4.679
1720,20,2,1.634,-4.898
1720,22,2,12.518,-1.497
1720,18,2,11.046,-2.009
1720,21,2,7.815,3.542
1760,8,1,12.969,3.700
1760,3,1,7.001,4.743
1760,9,1,-0.226,-1.664
1760,4,1,10.952,-2.804
1760,10,1,12.780,-4.667
1760,15,2,11.357,-4.615
1760,20,2,1.716,-4.785
1760,22,2,12.561,-1.558
1760,18,2,11.064,-2.003
1760,21,2,7.940,3.444
1800,8,1,12.969,3.658
1800,3,1,6.956,4.743
1800,9,1,-0.162,-1.670
1800,4,1,10.888,-2.886
1800,10,1,12.820,-4.539
1800,15,2,11.418,-4.575
1800,20,2,1.804,-4.706
1800,22,2,12.613,-1.600
1800,18,2,11.046,-2.012
1800,21,2,8.019,3.414
1840,8,1,12.969,3.569
1840,3,1,6.919,4.728
1840,9,1,-0.037,-1.683
1840,4,1,10.817,-3.008
1840,10,1,12.872,-4.414
1840,15,2,11.512,-4.481
1840,20,2,1.911,-4.569
1840,22,2,12.634,-1.640
1840,18,2,11.064,-2.006
1840,21,2,8.166,3.341
1880,8,1,12.985,3.505
1880,3,1,6.831,4.728
1880,9,1,0.006,-1.686
1880,4,1,10.729,-3.124
1880,10,1,12.908,-4.307
1880,15,2,11.552,-4.407
1880,20,2,1.972,-4.502
1880,22,2,12.646,-1.658
1880,18,2,11.043,-2.018
1880,21,2,8.282,3.295
1920,8,1,12.997,3.426
1920,3,1,6.770,4.682
1920,9,1,0.094,-1.692
1920,4,1,10.653,-3.228
1920,10,1,12.930,-4.194
1920,15,2,11.622,-4.322
1920,20,2,2.045,-4.395
1920,22,2,12.680,-1.704
1920,18,2,11.049,-2.015
1920,21,2,8.403,3.231
1960,8,1,12.997,3.341
1960,3,1,6.727,4.636
1960,9,1,0.223,-1.692
1960,4,1,10.568,-3.313
1960,10,1,12.972,-4.106
1960,15,2,11.665,-4.279
1960,20,2,2.091,-4.264
1960,22,2,12.723,-1.704
1960,18,2,11.049,-2.015
1960,21,2,8.535,3.185
2000,8,1,12.982,3.231
2000,3,1,6.684,4.593
2000,9,1,0.317,-1.692
2000,4,1,10.494,-3.429
2000,10,1,12.972,-4.017
2000,15,2,11.732,-4.188
2000,20,2,2.167,-4.151
2000,22,2,12.747,-1.743
2000,18,2,11.055,-2.012
2000,21,2,8.650,3.121
2040,8,1,12.982,3.143
2040,3,1,6.642,4.551
2040,9,1,0.405,-1.692
2040,4,1,10.409,-3.517
2040,10,1,12.972,-3.929
2040,15,2,11.775,-4.100
2040,20,2,2.256,-4.020
2040,22,2,12.747,-1.743
2040,18,2,11.055,-2.012
2040,21,2,8.781,3.075
2080,8,1,12.982,3.011
2080,3,1,6.596,4.508
2080,9,1,0.518,-1.689
2080,4,1,10.330,-3.636
2080,10,1,12.975,-3.844
2080,15,2,11.826,-4.011
2080,20,2,2.329,-3.905
2080,22,2,12.765,-1.756
2080,18,2,11.046,-2.021
2080,21,2,8.909,3.011
2120,8,1,12.982,2.926
2120,3,1,6.511,4.462
2120,9,1,0.604,-1.689
2120,4,1,10.244,-3.725
2120,10,1,12.975,-3.758
2120,15,2,11.869,-3.926
2120,20,2,2.374,-3.819
2120,22,2,12.808,-1.756
2120,18,2,11.000,-2.067
2120,21,2,9.040,2.923
2160,8,1,12.960,2.816
2160,3,1,6.465,4.420
2160,9,1,0.722,-1.673
2160,4,1,10.168,-3.841
2160,10,1,12.988,-3.667
